Procedure Summary

Plate Type	384 WELL PLATE
Shake	Shake: Medium for 0:03
Start Kinetic	Start Kinetic [Run 0:06:00, Interval 0:00:07]
Read	Read:  (A) 550
End Kinetic	End Kinetic
Read	Read:  (A) Spectrum [500nm to 650nm by 1]

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	SPL1	SPL8	SPL15																						Well ID
																									Name
B	SPL2	SPL9	SPL16																						Well ID
																									Name
C	SPL3	SPL10	SPL17																						Well ID
																									Name
D	SPL4	SPL11	SPL18																						Well ID
																									Name
E	SPL5	SPL12	SPL19																						Well ID
																									Name
F	SPL6	SPL13	SPL20																						Well ID
																									Name
G	SPL7	SPL14	SPL21																						Well ID
																									Name
H																									Well ID
																									Name
I																									Well ID
																									Name
J																									Well ID
																									Name
K																									Well ID
																									Name
L																									Well ID
																									Name
M																									Well ID
																									Name
N																									Well ID
																									Name
O																									Well ID
																									Name
P																									Well ID
																									Name

Read 1:550

Kinetic read	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3	E1	E2	E3	F1	F2	F3	G1	G2	G3
0:00:04	0,340	0,348	0,318	0,221	0,397	0,224	0,296	0,315	0,262	0,201	0,464	0,324	0,335	0,332	0,270	0,212	0,462	0,239	0,343	0,349	0,286
0:00:11	0,341	0,346	0,322	0,233	0,400	0,232	0,298	0,315	0,265	0,210	0,461	0,337	0,337	0,334	0,272	0,224	0,461	0,253	0,346	0,349	0,288
0:00:18	0,343	0,345	0,324	0,242	0,402	0,241	0,299	0,315	0,266	0,218	0,462	0,350	0,339	0,335	0,273	0,234	0,462	0,266	0,348	0,348	0,290
0:00:25	0,344	0,346	0,325	0,250	0,404	0,247	0,300	0,315	0,268	0,224	0,461	0,362	0,341	0,336	0,274	0,242	0,463	0,275	0,350	0,348	0,292
0:00:32	0,346	0,347	0,326	0,257	0,406	0,254	0,301	0,315	0,269	0,231	0,459	0,374	0,343	0,336	0,275	0,250	0,462	0,283	0,352	0,348	0,293
0:00:39	0,347	0,348	0,327	0,264	0,407	0,259	0,303	0,316	0,269	0,237	0,458	0,379	0,344	0,336	0,276	0,258	0,463	0,291	0,353	0,349	0,295
0:00:46	0,348	0,347	0,328	0,270	0,409	0,264	0,304	0,315	0,270	0,243	0,457	0,384	0,346	0,337	0,277	0,265	0,463	0,297	0,355	0,348	0,296
0:00:53	0,349	0,348	0,329	0,276	0,410	0,268	0,305	0,315	0,271	0,249	0,458	0,388	0,347	0,337	0,278	0,272	0,464	0,304	0,356	0,349	0,297
0:01:00	0,350	0,348	0,330	0,281	0,411	0,272	0,306	0,317	0,272	0,255	0,460	0,395	0,349	0,337	0,279	0,278	0,464	0,311	0,357	0,349	0,298
0:01:07	0,351	0,349	0,331	0,287	0,412	0,277	0,307	0,315	0,273	0,261	0,459	0,403	0,350	0,338	0,279	0,284	0,465	0,316	0,359	0,349	0,299
